docket_id,id,comment_url,attachment_count,number_of_comments_received,posted_date,congress,submitter_name,bioname,chamber,state,icpsr,title,organization,org_name_short,DATE,comment_type,org_name,org_type,position,position_certainty,TYPE,coalition,coalition_type,ask,ask1,ask2,ask3,success,success_certainty,sucess1,success2,success3,response,pressure_phrases,accept_phrases,compromise_phrases,reject_phrases,notes,
ACF-2014-0004,ACF-2014-0004-1582,https://www.regulations.gov/comment/ACF-2014-0004-1582,0,1,2015-02-04,114,Patricia Kenyon,,,,,Patricia Kenyon,Father's Congress,,2015-02-04,individual,Father's Congress,ngo,,,,,,,,,,,,,,,,,,,,,
ACF-2015-0001,ACF-2015-0001-0152,https://www.regulations.gov/comment/ACF-2015-0001-0152,1,1,2016-05-06,114,Tamera Begay,,,,,Comment on FR Doc # 2016-07920,National Congress of American Indians,,2016-05-06,org,,ngo;intergovernmental lobby,,,,,,,,,,,,,,,,,,,,,
ACF-2015-0002,ACF-2015-0002-0002,https://www.regulations.gov/comment/ACF-2015-0002-0002,1,1,2015-02-20,114,Ra̼l Grijalva,,,,,Comment on FR Doc # 2014-29984,House of Representatives,,2015-02-20,elected; house,,House,,,,,,,,,,,,,,,,,,,,,
ACF-2015-0008,ACF-2015-0008-0789,https://www.regulations.gov/comment/ACF-2015-0008-0789,1,1,2015-09-17,114,Jon Tester,"TESTER, Jon",Senate,montana,40702,2015-09-17 Secretary Burwell Head Start Proposed Rulemaking,Montana Senator,,2015-09-17,elected,"TESTER, Jon",Senate-montana,,,,,,,,,,,,,,,,,,,,,
ACF-2018-0001,ACF-2018-0001-0150,https://www.regulations.gov/comment/ACF-2018-0001-0150,1,1,2018-03-01,115,Anonymous Anonymous,,,,,Comment on FR Doc # 2017-26483,United States Senate,,2018-03-01,elected; senate,,Senate,,,,,,,,,,,,,,,,,,,,,
ACF-2018-0003,ACF-2018-0003-0013,https://www.regulations.gov/comment/ACF-2018-0003-0013,1,1,2018-06-01,115,Jim Langevin,"LANGEVIN, James",House,rhode island,20136,Rep. Langevin comments,House of Representatives,,2018-06-01,elected,"LANGEVIN, James",House-rhode island,,,,,,,,,,,,,,,,,,,,,
ACF-2018-0003,ACF-2018-0003-0106,https://www.regulations.gov/comment/ACF-2018-0003-0106,1,1,2018-06-13,115,Karen Bass,"BASS, Karen",House,california,21110,Rep. Karen Bass,US House of Representatives,,2018-06-13,elected,"BASS, Karen",House-california,,,,,,,,,,,,,,,,,,,,,
ACF-2018-0003,ACF-2018-0003-0164,https://www.regulations.gov/comment/ACF-2018-0003-0164,1,1,2018-06-13,115,Jackie Pata,,,,,National Congress of American Indians,National Congress of American Indians,,2018-06-13,org,,ngo;intergovernmental lobby,,,,,,,,,,,,,,,,,,,,,
ACF-2018-0003,ACF-2018-0003-0290,https://www.regulations.gov/comment/ACF-2018-0003-0290,1,1,2019-06-18,116,Senator Ron Wyden,"WYDEN, Ronald Lee",Senate,oregon,14871,"Senator Ron Wyden, Sen Finance Committee",U.S. Senate Committee on Finance Democratic Staff,,2019-06-18,elected,"WYDEN, Ronald Lee",Senate-oregon,,,,,,,,,,,,,,,,,,,,,
ACF-2018-0003,ACF-2018-0003-0365,https://www.regulations.gov/comment/ACF-2018-0003-0365,1,1,2019-06-19,116,Ahniwake Rose,,,,,National Congress of American Indians,National Congress of American Indians,,2019-06-19,org,National Congress of American Indians,ngo;intergovernmental lobby,,,,,,,,,,,,,,,,,,,,,
